4_digit_NAICS_code,NAICS_title,education,employees,mean_income,10_percent,25_percent,50_percent,75_percent,90_percent
2212,Natural Gas Distribution,No formal educational credential,"3,540","52,440","25,420","36,510","53,400","67,150","78,470"
2213,"Water, Sewage and Other Systems",Bachelor's degree,"5,410","92,320","37,270","57,100","82,560","113,960","155,760"
2213,"Water, Sewage and Other Systems",Associate's degree,540,"55,150","31,570","39,340","53,320","68,220","82,790"
2213,"Water, Sewage and Other Systems",Postsecondary nondegree award,"1,050","43,570","28,370","33,790","39,840","51,970","62,220"
2213,"Water, Sewage and Other Systems","Some college, no degree","1,580","36,670","19,060","26,240","34,880","45,800","57,370"
2213,"Water, Sewage and Other Systems",High school diploma or equivalent,"36,250","45,190","22,520","30,330","41,410","56,690","73,320"
2213,"Water, Sewage and Other Systems",No formal educational credential,"3,640","34,450","19,430","24,070","30,620","43,620","56,570"
2361,Residential Building Construction,Doctoral or professional degree,190,"147,980","63,160","80,890","122,360",,
2361,Residential Building Construction,Master's degree,90,"50,780","25,790","34,020","44,720","67,620","78,150"
2361,Residential Building Construction,Bachelor's degree,"97,680","86,630","39,060","53,170","72,330","103,820","150,380"
2361,Residential Building Construction,Associate's degree,"3,970","49,950","30,390","38,550","48,630","59,290","71,440"
2361,Residential Building Construction,Postsecondary nondegree award,"2,370","43,290","26,060","32,650","39,790","53,230","65,680"
2361,Residential Building Construction,"Some college, no degree","17,470","40,330","23,050","30,270","38,650","49,140","59,880"
2361,Residential Building Construction,High school diploma or equivalent,"387,690","46,660","23,880","31,650","41,520","56,680","75,120"
2361,Residential Building Construction,No formal educational credential,"171,020","34,410","20,280","24,750","30,920","39,000","52,250"
2362,Nonresidential Building Construction,Doctoral or professional degree,190,"160,670","60,280","106,260","149,720",,
2362,Nonresidential Building Construction,Master's degree,,"126,690","67,480","85,650","114,260","164,070",
2362,Nonresidential Building Construction,Bachelor's degree,"166,220","96,490","48,730","62,580","83,730","116,520","160,190"
2362,Nonresidential Building Construction,Associate's degree,"4,590","56,800","33,870","41,790","52,700","66,270","83,020"
2362,Nonresidential Building Construction,Postsecondary nondegree award,"5,810","43,490","27,680","32,940","39,860","51,170","64,280"
2362,Nonresidential Building Construction,"Some college, no degree","14,430","44,710","26,930","33,290","41,970","54,240","65,620"
2362,Nonresidential Building Construction,High school diploma or equivalent,"373,710","54,330","28,410","36,500","49,880","67,680","88,790"
2362,Nonresidential Building Construction,No formal educational credential,"158,940","39,580","22,450","27,610","35,040","47,520","65,590"
2371,Utility System Construction,Doctoral or professional degree,70,"136,970","67,090","90,730","126,420","172,740",
2371,Utility System Construction,Bachelor's degree,"45,760","95,970","45,910","61,450","82,990","115,940","159,280"
2371,Utility System Construction,Associate's degree,"3,110","52,340","31,790","37,190","49,220","63,350","78,060"
2371,Utility System Construction,Postsecondary nondegree award,"15,500","45,720","28,480","33,940","41,680","54,600","69,060"
2371,Utility System Construction,"Some college, no degree","6,660","43,260","25,790","33,090","41,760","52,460","62,300"
2371,Utility System Construction,High school diploma or equivalent,"274,940","51,580","27,320","34,970","47,420","63,980","82,600"
2371,Utility System Construction,No formal educational credential,"135,740","37,500","21,750","26,480","33,050","44,780","61,280"
2372,Land Subdivision,Doctoral or professional degree,100,"165,820","79,600","108,310","154,790",,
2372,Land Subdivision,Master's degree,,"54,290","35,380","52,130","56,730","61,320","64,120"
2372,Land Subdivision,Bachelor's degree,"10,490","100,840","41,860","60,050","84,970","123,530","182,380"
2372,Land Subdivision,Associate's degree,270,"56,490","32,950","42,330","53,600","68,250","81,300"
2372,Land Subdivision,Postsecondary nondegree award,410,"39,860","24,390","28,490","35,800","46,700","66,780"
2372,Land Subdivision,"Some college, no degree","1,960","42,250","22,320","31,100","41,270","51,980","62,120"
2372,Land Subdivision,High school diploma or equivalent,"20,000","51,370","20,520","28,890","40,560","61,370","90,850"
2372,Land Subdivision,No formal educational credential,"7,150","31,220","18,620","21,790","27,750","36,060","49,230"
2373,"Highway, Street, and Bridge Construction",Bachelor's degree,"31,320","96,930","48,360","64,140","84,870","115,390","160,130"
2373,"Highway, Street, and Bridge Construction",Associate's degree,820,"52,730","32,570","39,610","52,380","61,880","75,980"
2373,"Highway, Street, and Bridge Construction",Postsecondary nondegree award,"24,440","42,280","26,380","31,060","38,240","49,510","64,650"
2373,"Highway, Street, and Bridge Construction","Some college, no degree","3,630","42,850","25,990","32,700","40,850","52,430","62,280"
2373,"Highway, Street, and Bridge Construction",High school diploma or equivalent,"154,840","52,720","27,660","34,960","47,610","67,220","86,930"
2373,"Highway, Street, and Bridge Construction",No formal educational credential,"101,700","41,860","22,060","27,290","36,100","54,200","71,600"
2379,Other Heavy and Civil Engineering Construction,Bachelor's degree,"13,310","95,380","44,960","60,020","81,520","113,680","162,930"
2379,Other Heavy and Civil Engineering Construction,Associate's degree,840,"53,690","32,980","40,250","51,700","63,960","77,580"
2379,Other Heavy and Civil Engineering Construction,Postsecondary nondegree award,"4,790","49,900","27,750","33,810","43,720","60,410","79,840"
2379,Other Heavy and Civil Engineering Construction,"Some college, no degree","1,290","40,400","23,870","29,860","37,900","50,660","60,610"
2379,Other Heavy and Civil Engineering Construction,High school diploma or equivalent,"59,560","52,480","27,730","35,180","47,070","65,240","87,380"
2379,Other Heavy and Civil Engineering Construction,No formal educational credential,"29,840","38,140","21,110","25,920","33,030","46,000","63,500"
2381,"Foundation, Structure, and Building Exterior Contractors",Doctoral or professional degree,40,"127,460","48,190","88,280","120,270","175,310",
2381,"Foundation, Structure, and Building Exterior Contractors",Bachelor's degree,"57,690","87,110","38,690","52,570","71,650","101,000","153,830"
2381,"Foundation, Structure, and Building Exterior Contractors",Associate's degree,"1,960","52,110","31,860","38,220","49,810","63,550","76,870"
2381,"Foundation, Structure, and Building Exterior Contractors",Postsecondary nondegree award,"6,360","40,050","26,480","30,420","36,730","46,680","59,680"
2381,"Foundation, Structure, and Building Exterior Contractors","Some college, no degree","11,300","39,230","20,830","29,280","37,510","47,470","59,610"
2381,"Foundation, Structure, and Building Exterior Contractors",High school diploma or equivalent,"381,950","48,020","25,560","32,590","42,860","59,080","79,510"
2381,"Foundation, Structure, and Building Exterior Contractors",No formal educational credential,"338,630","37,740","22,130","27,100","34,090","44,860","60,420"
2382,Building Equipment Contractors,Doctoral or professional degree,100,"135,270","78,610","96,440","126,370","155,570",
2382,Building Equipment Contractors,Bachelor's degree,"166,220","92,830","43,540","58,270","78,550","110,230","157,550"
2382,Building Equipment Contractors,Associate's degree,"13,840","56,760","33,250","41,500","54,060","69,250","85,330"
2382,Building Equipment Contractors,Postsecondary nondegree award,"241,240","45,710","26,650","33,440","42,950","55,910","70,000"
2382,Building Equipment Contractors,"Some college, no degree","38,890","40,990","23,910","31,360","39,190","49,230","60,370"
2382,Building Equipment Contractors,High school diploma or equivalent,"1,357,800","51,490","25,510","33,280","46,060","64,170","87,610"
2382,Building Equipment Contractors,No formal educational credential,"77,360","35,560","20,420","25,160","31,770","41,470","57,420"
2383,Building Finishing Contractors,Bachelor's degree,"51,510","85,510","37,870","51,210","70,120","99,060","151,290"
2383,Building Finishing Contractors,Associate's degree,"1,100","48,380","27,840","36,050","47,110","58,500","70,730"
2383,Building Finishing Contractors,Postsecondary nondegree award,"1,770","42,230","27,250","31,840","38,170","51,540","61,710"
2383,Building Finishing Contractors,"Some college, no degree","11,340","39,740","21,780","29,160","37,970","48,130","59,960"
2383,Building Finishing Contractors,High school diploma or equivalent,"268,320","47,610","23,830","31,040","41,540","58,500","80,980"
2383,Building Finishing Contractors,No formal educational credential,"393,320","40,360","22,230","27,970","35,730","47,670","66,730"
2389,Other Specialty Trade Contractors,Bachelor's degree,"45,880","88,320","40,240","54,650","75,100","104,480","151,650"
2389,Other Specialty Trade Contractors,Associate's degree,"1,170","49,970","30,100","36,010","45,500","58,470","75,770"
2389,Other Specialty Trade Contractors,Postsecondary nondegree award,"42,250","39,860","26,640","31,600","37,280","46,060","57,240"
2389,Other Specialty Trade Contractors,"Some college, no degree","10,070","40,500","22,440","30,140","38,490","48,790","60,460"
2389,Other Specialty Trade Contractors,High school diploma or equivalent,"292,190","47,820","25,730","32,710","42,790","58,830","78,230"
2389,Other Specialty Trade Contractors,No formal educational credential,"227,610","36,560","21,100","25,940","32,720","43,050","59,690"
3111,Animal Food Manufacturing,Bachelor's degree,"6,220","86,560","39,270","53,620","73,330","102,850","148,880"
3111,Animal Food Manufacturing,Associate's degree,560,"42,040","25,660","32,260","39,050","48,500","60,730"
3111,Animal Food Manufacturing,Postsecondary nondegree award,"3,440","37,650","25,290","29,090","35,370","44,380","56,200"
3111,Animal Food Manufacturing,"Some college, no degree",880,"36,130","22,500","27,610","34,660","43,060","50,540"
3111,Animal Food Manufacturing,High school diploma or equivalent,"34,420","37,690","20,900","25,720","33,650","45,240","59,830"
3111,Animal Food Manufacturing,No formal educational credential,"10,330","28,630","18,390","21,160","26,500","34,470","42,810"
3112,Grain and Oilseed Milling,Doctoral or professional degree,40,"97,500","34,140","58,430","88,240","135,840","159,670"
3112,Grain and Oilseed Milling,Bachelor's degree,"8,170","85,070","44,160","55,850","73,510","100,610","138,430"
3112,Grain and Oilseed Milling,Associate's degree,800,"43,930","26,640","33,150","41,330","54,680","63,850"
3112,Grain and Oilseed Milling,Postsecondary nondegree award,470,"47,080","27,520","34,430","44,890","60,290","70,240"
3112,Grain and Oilseed Milling,"Some college, no degree",500,"38,900","23,820","30,080","36,620","44,950","55,910"
3112,Grain and Oilseed Milling,High school diploma or equivalent,"37,850","41,950","22,030","28,740","39,070","51,920","64,060"
3112,Grain and Oilseed Milling,No formal educational credential,"11,620","32,870","19,200","23,880","31,070","39,260","50,400"
3113,Sugar and Confectionery Product Manufacturing,Bachelor's degree,"5,800","94,640","41,590","56,600","79,970","114,220","165,580"
3113,Sugar and Confectionery Product Manufacturing,Associate's degree,"1,050","44,690","26,690","33,550","41,170","54,010","64,230"
3113,Sugar and Confectionery Product Manufacturing,Postsecondary nondegree award,390,"40,640","21,730","24,670","39,010","53,580","61,810"
3113,Sugar and Confectionery Product Manufacturing,"Some college, no degree",570,"40,590","25,130","31,120","38,160","47,630","59,530"
3113,Sugar and Confectionery Product Manufacturing,High school diploma or equivalent,"39,490","37,350","19,510","23,930","33,540","46,620","59,880"
3113,Sugar and Confectionery Product Manufacturing,No formal educational credential,"24,610","26,180","17,460","19,120","23,150","30,890","40,300"
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,Bachelor's degree,"12,140","87,170","38,520","52,060","74,560","104,640","149,480"
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,Associate's degree,"1,790","39,360","25,060","30,530","36,830","46,060","58,450"
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,Postsecondary nondegree award,"1,500","42,090","26,700","32,030","39,640","51,330","60,720"
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,"Some college, no degree","1,210","39,800","25,570","30,020","36,900","47,050","59,160"
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,High school diploma or equivalent,"96,130","36,850","20,000","25,170","33,180","43,910","57,160"
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,No formal educational credential,"51,960","27,980","18,980","20,810","26,630","33,740","39,340"
3115,Dairy Product Manufacturing,Doctoral or professional degree,30,"139,020","73,690","87,590","108,600","181,400",
3115,Dairy Product Manufacturing,Bachelor's degree,"11,180","89,190","42,340","56,700","78,150","106,330","147,560"
3115,Dairy Product Manufacturing,Associate's degree,"2,100","42,430","27,390","33,580","40,930","48,170","59,780"
3115,Dairy Product Manufacturing,Postsecondary nondegree award,"4,480","43,970","30,160","35,420","42,890","50,300","60,070"
3115,Dairy Product Manufacturing,"Some college, no degree","1,370","40,470","26,360","32,050","38,070","46,980","58,420"
3115,Dairy Product Manufacturing,High school diploma or equivalent,"87,710","39,800","21,600","28,200","37,480","47,890","60,710"
3115,Dairy Product Manufacturing,No formal educational credential,"29,760","30,640","18,670","21,800","29,070","38,200","46,270"
3116,Animal Slaughtering and Processing,Doctoral or professional degree,110,"62,150","38,660","43,370","50,050","62,150","112,080"
3116,Animal Slaughtering and Processing,Bachelor's degree,"15,580","79,660","33,590","48,540","69,850","96,470","134,010"
3116,Animal Slaughtering and Processing,Associate's degree,"2,150","34,280","22,540","26,290","31,230","38,990","48,430"
3116,Animal Slaughtering and Processing,Postsecondary nondegree award,"5,720","38,490","25,420","30,150","36,370","44,770","54,250"
3116,Animal Slaughtering and Processing,"Some college, no degree","2,140","36,250","24,860","28,140","33,980","42,070","52,440"
3116,Animal Slaughtering and Processing,High school diploma or equivalent,"137,990","35,160","20,670","24,930","30,640","41,150","56,650"
3116,Animal Slaughtering and Processing,No formal educational credential,"321,010","25,390","18,780","21,090","24,380","29,000","33,710"
3117,Seafood Product Preparation and Packaging,Bachelor's degree,"1,840","97,580","37,530","53,120","77,890","122,340","184,250"
3117,Seafood Product Preparation and Packaging,Associate's degree,90,"37,150","18,530","23,080","36,040","47,210","60,220"
3117,Seafood Product Preparation and Packaging,Postsecondary nondegree award,480,"42,900","21,510","30,020","39,730","54,270","66,520"
3117,Seafood Product Preparation and Packaging,"Some college, no degree",360,"39,800","21,720","28,540","37,770","48,640","60,190"
3117,Seafood Product Preparation and Packaging,High school diploma or equivalent,"10,830","36,040","18,910","22,590","31,100","43,450","60,300"
3117,Seafood Product Preparation and Packaging,No formal educational credential,"19,880","23,930","17,670","19,040","21,480","26,700","34,820"
3118,Bakeries and Tortilla Manufacturing,Doctoral or professional degree,60,"140,600","69,180","89,560","133,810","171,070",
3118,Bakeries and Tortilla Manufacturing,Bachelor's degree,"16,520","91,930","39,680","53,530","76,780","111,150","160,900"
3118,Bakeries and Tortilla Manufacturing,Associate's degree,810,"43,750","27,540","32,810","40,280","50,420","63,430"
3118,Bakeries and Tortilla Manufacturing,Postsecondary nondegree award,"2,250","45,430","30,750","35,470","43,600","54,060","65,230"
3118,Bakeries and Tortilla Manufacturing,"Some college, no degree","1,930","39,390","23,660","29,800","37,240","47,530","58,890"
3118,Bakeries and Tortilla Manufacturing,High school diploma or equivalent,"118,760","36,010","19,240","23,040","31,170","43,750","59,430"
3118,Bakeries and Tortilla Manufacturing,No formal educational credential,"156,510","24,870","17,760","19,150","22,430","28,680","36,770"
3119,Other Food Manufacturing,Bachelor's degree,"19,310","92,820","40,190","55,500","77,510","112,210","162,320"
3119,Other Food Manufacturing,Associate's degree,"1,930","44,700","26,140","32,830","41,400","52,260","67,740"
3119,Other Food Manufacturing,Postsecondary nondegree award,"3,670","34,970","20,510","23,290","32,700","43,580","55,980"
3119,Other Food Manufacturing,"Some college, no degree","1,680","42,040","26,810","32,850","38,930","48,450","60,730"
3119,Other Food Manufacturing,High school diploma or equivalent,"107,770","37,660","19,870","24,530","33,330","46,240","60,750"
3119,Other Food Manufacturing,No formal educational credential,"60,290","28,530","18,660","20,740","26,570","34,980","42,780"
3121,Beverage Manufacturing,Doctoral or professional degree,40,"133,890","63,810","73,860","118,980","165,490",
3121,Beverage Manufacturing,Bachelor's degree,"19,140","90,470","38,220","54,260","76,300","110,020","155,850"
3121,Beverage Manufacturing,Associate's degree,"1,180","50,950","28,310","35,320","45,560","61,210","86,150"
3121,Beverage Manufacturing,Postsecondary nondegree award,"6,790","43,750","26,830","33,390","42,150","51,220","61,820"
3121,Beverage Manufacturing,"Some college, no degree","2,140","41,310","26,120","32,410","38,890","49,160","59,890"
3121,Beverage Manufacturing,High school diploma or equivalent,"121,620","42,100","21,150","27,220","37,150","52,250","70,040"
3121,Beverage Manufacturing,No formal educational credential,"54,530","28,040","18,390","20,190","25,050","33,250","42,900"
3122,Tobacco Manufacturing,Bachelor's degree,"1,830","106,560","48,540","65,360","95,090","125,890","183,720"
3122,Tobacco Manufacturing,Associate's degree,120,"46,900","25,940","34,410","45,450","58,910","72,690"
3122,Tobacco Manufacturing,Postsecondary nondegree award,100,"42,670","26,520","29,360","40,760","55,720","61,990"
3122,Tobacco Manufacturing,"Some college, no degree",70,"44,930","30,700","34,680","41,270","51,650","69,830"
3122,Tobacco Manufacturing,High school diploma or equivalent,"7,990","51,820","25,620","35,830","51,390","65,860","76,060"
3122,Tobacco Manufacturing,No formal educational credential,"3,180","36,310","19,950","22,970","32,740","51,040","58,470"
3131,"Fiber, Yarn, and Thread Mills",Bachelor's degree,"1,100","87,320","37,840","56,840","75,520","99,440","144,800"
3131,"Fiber, Yarn, and Thread Mills",Associate's degree,260,"37,310","27,310","31,220","35,130","39,040","48,840"
3131,"Fiber, Yarn, and Thread Mills",Postsecondary nondegree award,240,"40,760","26,860","30,680","40,320","47,930","57,630"
3131,"Fiber, Yarn, and Thread Mills","Some college, no degree",130,"42,110","26,500","31,370","36,710","49,020","72,210"
3131,"Fiber, Yarn, and Thread Mills",High school diploma or equivalent,"24,230","30,990","20,920","24,450","28,320","34,030","45,000"
3131,"Fiber, Yarn, and Thread Mills",No formal educational credential,"2,510","26,130","20,450","22,530","25,950","29,170","31,330"
3132,Fabric Mills,Bachelor's degree,"4,550","88,320","38,090","53,750","76,030","105,090","153,060"
3132,Fabric Mills,Associate's degree,470,"42,770","27,320","32,830","39,560","51,640","61,480"
3132,Fabric Mills,Postsecondary nondegree award,320,"44,450","28,870","34,810","42,890","50,960","63,350"
3132,Fabric Mills,"Some college, no degree",410,"38,610","25,660","29,890","36,150","45,580","56,550"
3132,Fabric Mills,High school diploma or equivalent,"42,810","33,640","20,050","24,450","30,300","38,670","50,750"
3132,Fabric Mills,No formal educational credential,"7,460","25,400","18,330","20,580","23,880","29,150","35,560"
3133,Textile and Fabric Finishing and Fabric Coating Mills,Bachelor's degree,"3,140","94,240","42,010","56,930","78,940","112,110","165,920"
3133,Textile and Fabric Finishing and Fabric Coating Mills,Associate's degree,450,"38,860","25,600","30,940","36,950","46,130","56,530"
3133,Textile and Fabric Finishing and Fabric Coating Mills,Postsecondary nondegree award,110,"42,920","26,900","32,400","38,490","48,890","69,300"
3133,Textile and Fabric Finishing and Fabric Coating Mills,"Some college, no degree",370,"39,050","25,110","29,540","36,590","46,520","58,720"
3133,Textile and Fabric Finishing and Fabric Coating Mills,High school diploma or equivalent,"22,840","34,530","19,760","23,300","29,710","39,600","53,490"
3133,Textile and Fabric Finishing and Fabric Coating Mills,No formal educational credential,"5,430","24,380","18,830","19,630","22,630","27,360","34,060"
3141,Textile Furnishings Mills,Bachelor's degree,"3,680","87,580","37,210","53,150","74,300","103,880","151,840"
3141,Textile Furnishings Mills,Associate's degree,150,"46,840","31,850","34,550","39,050","56,030","75,010"
3141,Textile Furnishings Mills,Postsecondary nondegree award,210,"31,890","21,460","24,430","30,410","36,580","46,410"
3141,Textile Furnishings Mills,"Some college, no degree",470,"38,040","25,230","29,670","35,960","44,520","56,130"
3141,Textile Furnishings Mills,High school diploma or equivalent,"28,910","33,900","20,810","25,730","30,880","38,110","49,220"
3141,Textile Furnishings Mills,No formal educational credential,"18,760","25,790","17,800","20,000","24,910","30,200","36,040"
3149,Other Textile Product Mills,Bachelor's degree,"5,860","79,680","32,600","44,750","64,660","96,920","145,360"
3149,Other Textile Product Mills,Associate's degree,210,"42,660","26,080","32,540","40,950","49,400","61,220"
3149,Other Textile Product Mills,Postsecondary nondegree award,90,"36,980","26,200","30,700","35,270","40,010","51,250"
3149,Other Textile Product Mills,"Some college, no degree","1,040","35,210","19,530","26,450","33,090","42,630","54,030"
3149,Other Textile Product Mills,High school diploma or equivalent,"28,910","35,240","19,470","23,400","30,370","40,730","56,380"
3149,Other Textile Product Mills,No formal educational credential,"27,620","24,840","17,670","19,520","23,170","28,660","35,200"
3151,Apparel Knitting Mills,Bachelor's degree,830,"92,190","36,180","48,020","67,300","101,530",
3151,Apparel Knitting Mills,Associate's degree,50,"51,320","29,070","37,660","48,160","63,180","79,600"
3151,Apparel Knitting Mills,"Some college, no degree",,"40,950","27,850","32,890","38,380","48,080","59,150"
3151,Apparel Knitting Mills,High school diploma or equivalent,"7,640","30,250","18,240","20,850","25,420","34,450","48,090"
3151,Apparel Knitting Mills,No formal educational credential,"4,160","23,120","16,990","19,070","22,000","25,720","30,890"
3152,Cut and Sew Apparel Manufacturing,Bachelor's degree,"12,090","92,390","37,630","51,420","72,360","110,500","178,880"
3152,Cut and Sew Apparel Manufacturing,Associate's degree,210,"53,570","26,300","34,570","46,290","63,420","93,910"
3152,Cut and Sew Apparel Manufacturing,Postsecondary nondegree award,50,"39,540","26,600","29,970","37,100","47,350","57,950"
