city,state,no_schooling,nursery_school,kindergarten,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th_no_diploma,hs_diploma,GED_or_alternative_credential,college_less_than_year,college_more_than_year_no_degree,associate_degree,bachelor_degree,master_degree,professional_degree,doctorate_degree,computers_mathematics_statistics,biological_agricultural_environmental_sciences,physical_related_sciences,psychology,social_sciences,engineering,multidisciplinary,science_engineering_related,business,education,literature_languages,liberal_arts_history,visual_performing_arts,communications,other
Abingdon,IL,13,0,0,0,0,0,6,0,0,0,3,15,87,71,92,857,185,146,213,334,118,40,0,7,14,22,3,9,3,25,0,7,11,69,0,11,0,0,0
Ada,OH,0,0,0,0,0,22,0,0,10,0,2,14,89,143,0,619,54,219,418,156,258,196,32,83,16,43,43,61,17,56,0,57,45,151,53,41,53,14,36
Ada,OK,129,0,0,0,3,27,11,0,27,43,159,236,277,251,224,2567,559,603,1826,552,2063,1004,187,163,113,203,149,137,141,66,12,474,577,801,134,207,131,257,298
Adams,NY,8,0,0,0,0,0,0,0,0,2,29,23,87,57,16,560,101,77,109,177,141,224,8,6,11,13,6,48,22,27,4,27,23,173,5,8,7,20,18
Adel,GA,93,0,0,0,6,7,4,11,60,41,149,194,434,135,99,1571,140,149,458,361,483,120,81,33,27,13,4,17,11,69,0,36,245,176,32,13,16,0,68
Adel,IA,0,0,0,0,0,0,0,0,0,0,3,6,36,74,43,634,112,267,306,202,544,97,50,27,58,72,27,31,32,8,4,98,142,111,18,48,11,37,66
Adrian,MI,355,0,18,0,0,115,16,43,122,210,476,533,702,793,405,8205,2145,2342,4444,2372,3939,1749,186,148,247,228,160,333,302,262,68,529,1212,1377,434,361,288,197,691
Ahoskie,NC,60,0,0,2,7,17,8,25,29,36,83,119,172,170,35,831,119,187,459,271,342,125,41,15,23,51,4,27,57,10,6,65,75,124,17,29,10,19,26
Air Force Academy,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,58,167,135,83,28,4,4,7,15,4,0,5,0,0,26,52,0,10,0,0,4,6
Ajo,AZ,85,0,0,0,0,10,0,20,46,10,148,0,36,129,52,651,253,148,437,158,277,160,11,0,0,45,0,25,60,0,0,63,52,136,0,32,0,12,33
Akron,NY,31,0,0,0,0,0,0,0,0,0,7,19,15,27,30,646,57,170,308,252,309,193,62,0,4,62,12,43,16,50,0,30,66,167,49,33,30,19,15
Akron,OH,3171,22,5,64,138,535,111,310,802,1076,3420,4109,7498,9224,6491,116231,13348,25438,52948,32078,67052,25722,6159,4678,3916,5254,4638,4786,7312,8106,732,12503,20585,19584,4311,5030,4188,4731,6059
Alachua,FL,59,0,0,0,0,0,0,17,0,0,25,16,0,41,78,774,49,196,588,249,527,59,38,11,31,31,17,52,36,53,0,111,109,82,55,23,11,0,73
Alamogordo,NM,209,22,0,0,31,29,19,27,71,42,389,307,386,497,426,5327,1524,1885,4340,2460,2154,1558,165,125,139,341,174,277,294,309,112,392,655,799,198,118,101,88,343
Alamosa,CO,132,0,0,0,18,15,6,20,37,29,112,130,110,86,201,1172,368,229,1205,309,819,525,81,122,92,229,117,76,129,0,35,175,199,478,41,99,76,39,45
Albany,GA,925,16,0,25,9,267,99,152,327,537,644,1204,1993,2579,1717,13663,2806,4013,11557,4003,6860,3235,765,643,548,863,398,567,666,355,100,1043,3154,2040,348,523,470,364,905
Albany,MN,11,0,0,0,0,9,0,0,0,18,99,13,33,13,154,576,36,99,273,266,247,45,9,10,4,40,0,11,17,23,0,88,36,52,5,1,6,27,27
Albany,OR,310,45,0,22,19,35,54,25,190,134,362,660,693,725,655,7694,2138,4003,7473,3914,6166,2405,412,362,206,1134,531,476,743,847,89,1018,1769,1484,411,558,277,249,378
Albany--Schenectady,NY,3629,27,12,20,126,444,460,689,1456,968,3447,4104,5798,6687,4856,90545,15198,22715,47326,47484,79043,48936,9850,8336,7501,8832,9000,10068,16284,12216,939,13138,24708,19277,9730,8752,5567,4874,6882
Albemarle,NC,287,0,0,0,0,0,26,32,61,71,196,305,554,431,232,3123,633,872,1501,1067,1422,413,116,62,42,134,36,287,100,124,13,117,388,385,43,144,53,74,259
Albert Lea,MN,95,0,10,0,0,37,7,44,152,21,410,164,237,326,228,3823,613,994,1947,1497,1417,426,136,51,39,200,64,67,116,61,0,201,355,605,75,136,33,81,198
Albertville,AL,1017,0,0,40,47,270,22,234,490,154,580,951,1067,674,453,6038,1500,1446,2945,1575,2394,999,292,107,62,332,101,85,120,184,25,421,1049,1040,110,163,82,119,229
Albia,IA,29,0,0,0,0,0,0,0,0,0,79,72,56,55,26,785,127,138,225,133,319,57,12,24,4,80,0,6,17,0,0,61,63,129,19,39,0,0,13
Albion,MI,54,0,0,0,0,13,5,1,20,15,86,152,116,158,87,1507,419,392,762,398,454,233,26,103,18,87,31,23,100,16,6,59,94,219,58,44,15,25,100
Albion,NY,79,0,0,0,0,0,0,41,203,61,115,402,344,308,86,1829,685,296,666,457,303,127,11,0,4,8,11,28,22,25,0,22,106,107,27,22,56,0,14
Albion,PA,35,0,0,0,0,2,9,3,9,0,37,68,188,147,92,1322,756,254,263,207,144,57,4,14,5,6,5,15,5,13,0,27,25,60,6,12,13,21,18
Albuquerque,NM,5890,63,76,214,641,1202,1227,1773,6624,2028,5572,6945,8639,9622,8127,100765,20798,31238,91379,40591,89516,49618,10875,11543,6731,10963,8117,8738,15390,16310,994,17072,28510,22683,9569,9090,7974,5615,8402
Alderson,WV,13,0,0,0,0,0,0,0,0,26,32,31,43,30,0,397,242,231,494,128,149,57,18,0,14,7,0,0,24,10,0,50,50,18,5,17,25,0,14
Aledo,IL,0,0,0,0,0,0,0,0,0,1,28,12,65,16,43,857,118,262,432,208,340,106,20,12,18,20,15,0,19,1,0,46,102,164,16,42,0,19,33
Aledo,TX,0,0,0,0,0,0,0,0,0,0,14,0,41,17,141,387,80,191,569,231,1148,442,60,37,60,114,71,66,70,125,20,120,498,313,18,77,48,53,175
Alexander City,AL,89,0,0,0,0,0,50,9,103,115,156,310,232,317,152,1729,327,288,1042,448,597,159,50,18,34,97,24,25,13,34,0,39,339,164,0,0,31,0,102
Alexandria,LA,728,32,0,53,31,104,124,157,307,475,946,1226,1966,2517,1036,15200,4279,3005,9656,2505,6535,2643,866,596,330,885,335,595,504,481,68,1365,1715,2308,322,845,455,290,732
Alexandria,MN,45,0,0,0,0,0,11,52,0,26,178,35,71,198,93,3079,203,783,1896,1876,2512,703,241,115,93,224,62,226,192,201,0,375,744,935,133,245,98,82,328
Alfred,NY,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,83,17,15,12,48,164,144,17,80,18,18,60,33,25,38,0,26,9,30,44,38,91,13,0
Algoma,WI,20,0,0,0,0,0,0,0,5,0,50,10,71,33,60,877,65,216,187,235,252,56,1,7,12,25,0,19,30,20,8,23,57,106,7,7,0,23,47
Algona,IA,11,0,0,0,0,0,0,0,0,24,38,16,24,56,46,1214,142,289,494,587,647,199,29,0,0,56,0,21,25,31,0,112,252,265,15,58,41,18,66
Alice,TX,360,0,0,0,47,191,99,161,289,294,261,611,644,562,288,3886,567,735,1936,652,1045,400,115,32,16,149,38,107,93,90,13,167,374,481,73,94,49,8,107
Allegan,MI,24,0,0,0,0,0,9,6,0,13,117,40,134,113,100,1351,317,243,542,301,428,222,56,4,14,37,38,7,41,44,0,68,205,169,40,0,36,19,78
Allendale,SC,0,0,0,0,0,0,0,26,15,75,0,195,54,94,83,647,76,111,326,88,282,45,0,0,0,68,0,0,30,23,0,10,81,30,0,0,0,85,64
Allentown,PA,4881,111,82,172,460,618,646,1309,2483,1881,6416,6888,10949,10510,7567,139891,16770,26243,53478,39464,77520,34588,7022,5427,5577,8084,5102,7568,9032,10845,724,12588,26911,20922,5032,6102,4558,4340,7232
Alliance,NE,56,0,0,0,0,13,0,11,78,0,126,43,47,136,46,1545,241,753,910,645,560,252,29,0,98,36,0,19,8,0,12,120,194,329,9,27,20,0,15
Alliance,OH,209,0,0,1,0,11,0,14,93,42,583,363,640,854,430,8764,1003,1270,2502,1436,1939,614,165,119,123,104,100,173,240,207,0,445,356,617,134,252,207,79,66
Alma,GA,38,0,0,0,0,0,4,17,37,22,96,73,127,68,37,702,187,56,247,176,212,95,30,7,8,12,8,0,0,33,0,12,50,103,34,0,32,32,51
Alma--St. Louis,MI,220,7,8,0,0,4,6,27,15,32,80,134,300,338,179,2797,1499,1053,1893,710,915,548,58,192,23,71,63,185,95,43,0,155,296,507,129,77,63,10,175
Almont,MI,7,0,0,0,5,0,0,0,4,0,20,35,54,32,28,636,124,163,330,117,170,94,5,5,0,14,20,13,5,22,0,32,70,74,18,22,0,0,9
Alpena,MI,115,0,0,0,46,3,0,7,45,12,153,133,138,159,160,2756,485,854,1738,1274,1023,572,84,69,25,113,58,39,83,49,0,168,364,450,104,121,14,11,288
Alpine,TX,78,0,0,0,0,3,31,27,25,15,55,115,73,44,116,756,145,280,766,156,773,519,52,101,82,188,43,59,7,15,0,39,157,310,199,58,165,0,166
Altavista,VA,90,0,0,0,0,18,19,23,55,28,55,115,110,52,9,1092,147,202,543,142,459,171,31,0,63,24,14,30,55,25,4,33,124,144,26,62,11,21,76
Alton,IL,377,3,0,0,11,33,5,37,110,150,744,656,1311,1492,615,16362,3674,5711,10706,6405,6847,2613,498,285,251,769,358,632,523,314,96,1029,2337,2338,317,541,349,436,625
Altoona,PA,346,0,0,0,11,19,8,19,46,119,585,733,1208,1533,714,22884,2705,2989,5186,4785,7596,2693,601,438,428,637,320,538,738,501,138,1443,2186,2536,448,451,181,473,901
Alturas,CA,0,0,0,2,35,35,0,0,1,0,0,0,19,84,59,522,21,297,382,106,210,30,0,0,0,41,8,0,0,0,0,43,36,75,0,13,31,0,9
Altus,OK,244,0,0,0,44,71,118,159,348,343,136,175,308,333,197,2577,746,954,2085,1361,1484,580,88,128,119,191,135,118,235,153,30,183,307,555,24,106,27,42,273
Alva,OK,22,0,0,0,0,7,19,0,0,14,66,98,89,82,27,947,223,201,580,142,519,188,40,142,38,106,39,17,35,18,0,85,144,206,31,41,11,60,138
Alvarado,TX,76,0,0,0,0,29,0,0,25,61,99,144,36,134,33,747,87,214,658,182,189,58,96,0,26,109,0,25,0,34,0,0,23,106,0,0,0,20,0
Amarillo,TX,1788,32,9,132,228,663,340,716,2348,930,2117,3034,3529,4187,2120,24745,8254,11268,24940,10458,18979,6714,1576,801,1011,2262,1254,1125,1307,1533,191,2901,6343,5683,764,1925,724,942,1965
American Falls,ID,34,0,0,33,0,13,59,60,165,0,52,36,168,36,19,914,254,178,349,96,168,21,60,0,21,62,36,0,24,33,0,0,56,54,10,0,0,0,0
Americus,GA,324,0,16,0,21,0,99,41,75,31,141,363,407,556,246,2617,580,523,1499,735,974,687,270,227,79,185,34,165,175,35,3,136,420,580,111,51,91,96,208
Amery,WI,53,0,0,0,0,0,0,0,0,15,70,12,50,47,43,595,149,278,223,151,304,140,55,0,12,55,46,26,21,15,0,58,33,167,60,56,0,0,0
Ames,IA,102,0,0,0,11,2,0,31,94,0,120,59,137,90,166,3226,374,1106,3543,2240,9174,4635,620,2889,926,2464,964,815,1005,2358,102,1359,2527,2380,897,770,645,642,969
Amite City,LA,26,0,0,0,0,0,19,14,69,10,194,176,420,154,52,1291,147,132,543,166,587,285,12,0,12,67,0,63,25,113,0,38,173,307,13,2,27,0,68
Amory,MS,125,0,0,0,0,27,12,4,81,108,212,80,188,133,124,957,229,198,631,434,633,189,28,10,18,91,9,21,9,19,0,179,222,244,9,21,13,8,31
Amsterdam,NY,225,0,13,0,3,7,47,38,199,142,192,271,612,637,301,4163,674,1025,1851,1996,1566,612,95,42,106,140,57,160,153,74,27,284,360,471,190,157,103,61,93
Anaconda-Deer Lodge County,MT,104,0,0,0,0,0,0,0,9,0,57,40,88,80,58,1513,300,304,836,477,441,182,88,28,31,67,18,42,66,60,0,182,85,160,27,27,8,3,24
Anacortes,WA,41,0,2,0,4,6,3,5,26,4,49,82,90,197,166,2361,441,1152,2274,1170,2979,1321,341,187,144,382,210,291,484,504,36,515,696,738,300,319,192,149,355
Anadarko,OK,3,0,22,0,29,0,0,0,38,24,18,105,109,237,73,1204,200,280,587,119,417,214,0,0,42,20,47,12,87,19,12,46,36,177,28,1,40,77,12
Anamosa,IA,31,0,0,0,0,0,0,8,12,6,125,41,88,66,12,1157,469,313,678,408,291,177,0,0,0,69,0,15,54,29,0,36,133,114,0,0,8,11,19
Anchorage,AK,1794,40,10,46,146,379,312,276,802,328,1295,899,1846,2175,2191,32572,7532,11459,33100,12804,32491,13202,3829,2030,1645,4641,2222,2495,4739,4541,453,5638,9691,7139,2653,2973,1692,1618,4186
Anchorage Northeast,AK,33,0,0,0,0,84,0,0,25,0,43,39,108,131,111,3439,771,1310,3630,2362,4486,1640,472,235,137,719,447,551,544,470,82,812,1276,705,189,479,170,227,573
Andalusia,AL,76,0,0,0,0,7,13,18,14,70,70,124,187,209,68,1286,218,258,683,375,400,140,71,14,20,34,51,29,26,46,0,100,74,196,12,21,34,9,9
Anderson,IN,541,21,0,0,0,69,45,136,357,188,761,1100,1942,2061,1205,18326,4311,4194,9188,5137,6897,2586,436,304,448,480,217,481,484,563,6,1207,2308,2319,233,991,332,284,837
Anderson,SC,939,12,0,0,1,262,62,108,259,575,1180,1247,1741,2004,1005,12665,2370,3560,7679,5366,7106,2868,695,463,287,685,321,494,835,913,66,1611,2162,2104,593,624,392,283,455
Andrews,SC,56,0,0,0,0,16,0,23,1,15,13,35,125,129,56,1067,125,113,383,124,136,28,0,0,4,9,0,20,0,0,0,12,60,36,0,12,10,0,15
Andrews,TX,179,0,0,21,17,98,49,48,502,47,121,134,247,414,211,2215,521,437,1475,631,743,175,16,54,40,115,40,56,17,35,0,247,173,144,90,77,0,4,35
Angels,CA,13,0,0,0,0,0,0,0,54,0,21,0,28,109,13,533,35,252,715,190,442,215,28,19,0,100,35,27,31,21,0,121,92,133,35,37,68,0,44
Angola,IN,92,0,0,0,0,12,0,8,115,10,46,91,70,144,174,1992,338,568,1131,503,1022,409,88,139,72,97,28,39,34,133,0,112,493,461,91,60,29,49,83
Anna,IL,157,0,0,0,0,10,0,0,57,25,244,75,230,113,66,1039,170,303,675,423,362,168,19,73,3,14,38,22,39,7,3,87,91,184,20,20,52,10,47
Anna,TX,51,0,0,0,0,4,0,0,151,6,115,161,230,121,23,1766,470,690,1453,745,1011,367,174,28,145,24,50,92,75,43,35,176,377,146,67,354,73,52,94
Annandale,MN,0,0,0,0,0,0,0,0,0,0,64,15,19,115,52,646,156,94,317,209,454,98,14,0,0,11,22,16,13,18,0,56,153,127,29,32,25,17,101
Ann Arbor,MI,1179,42,0,22,59,231,145,68,420,339,1120,1349,2197,2104,2419,24953,4299,9568,26000,12865,47590,32247,8194,11089,5632,9232,5164,6166,9686,12913,965,9916,13187,9497,7342,5391,5518,3294,5347
Anniston--Oxford,AL,834,16,0,2,87,123,122,69,560,580,923,1457,1950,2316,1209,12934,3250,3703,8988,3488,6072,2713,569,470,246,447,300,363,643,312,66,1234,2160,2310,289,509,289,235,1108
Antigo,WI,35,0,0,0,0,0,0,7,4,8,138,44,121,224,78,1870,251,488,806,523,649,184,28,8,6,49,25,9,70,7,19,93,163,300,8,67,8,47,51
Antioch,CA,4174,14,65,256,555,981,624,873,4371,1325,1945,3334,2576,2733,5041,42588,5585,15308,36529,17621,28514,6784,1825,1028,2055,2291,1266,2286,3506,3020,360,5009,9330,2593,1531,2729,1172,730,2741
Apalachicola,FL,69,0,0,0,0,0,0,10,19,26,41,84,110,127,18,661,226,287,486,97,241,112,5,18,11,19,1,8,11,30,19,9,51,128,42,1,7,22,39
Appleton,WI,1437,12,10,12,95,36,42,118,312,132,1073,949,1000,1637,2539,42270,4147,9076,20747,16968,31276,9832,2042,1229,1762,2840,1444,1825,3178,3246,204,5119,10959,7071,1880,1783,2077,2106,2966
Apple Valley,OH,4,0,0,0,0,0,0,0,16,0,91,4,31,81,20,1243,87,299,421,387,823,238,61,34,0,76,14,44,44,54,0,139,366,219,29,46,82,50,35
Arab,AL,48,10,0,10,0,0,11,3,43,36,71,84,129,116,92,1312,428,400,820,492,847,353,53,19,48,56,33,46,71,145,25,75,366,268,24,45,11,66,74
Arbuckle,CA,89,0,0,9,19,0,0,43,199,45,96,37,23,67,15,299,72,45,264,69,86,22,0,0,6,0,0,0,0,0,0,0,33,23,8,0,0,22,16
Arcade,NY,4,0,0,0,0,0,0,0,0,35,51,41,80,104,30,595,263,88,334,344,205,119,0,0,15,31,5,4,6,25,0,44,51,88,9,18,8,0,30
Arcadia,LA,23,0,0,0,0,0,29,0,22,46,103,86,85,89,29,573,94,67,395,92,150,115,6,11,0,13,21,0,16,9,0,26,53,76,0,8,14,0,58
Arcadia,WI,32,0,0,0,5,11,0,14,42,0,75,80,40,36,28,659,90,98,168,115,175,63,18,0,25,8,3,0,6,3,0,23,101,78,0,0,13,6,11
Arcadia--Southeast Arcadia,FL,382,0,0,6,103,118,123,134,832,408,285,382,505,409,117,4021,740,652,970,543,413,201,51,23,0,19,66,39,61,6,0,102,87,175,23,96,24,25,63
Arcata--McKinleyville,CA,101,0,0,0,0,43,0,12,15,20,247,152,426,371,352,3124,543,1249,3650,1808,4908,1700,420,746,347,1461,335,552,883,463,57,546,513,581,560,474,667,282,607
Archbold,OH,22,0,0,0,0,0,0,0,14,14,40,46,68,63,59,1033,49,137,373,378,460,240,25,7,25,22,0,20,31,51,0,89,211,212,28,15,28,0,40
Archer Lodge--Clayton,NC,64,0,0,3,0,0,0,0,0,34,204,74,152,58,28,1950,227,420,1321,1135,2486,600,106,42,79,189,142,114,235,417,0,426,650,730,154,91,11,114,201
Arcola,IL,20,0,0,0,0,16,20,4,47,31,59,28,21,68,30,577,96,166,274,156,251,45,0,22,13,6,9,30,0,13,0,19,38,87,7,6,19,20,51
Ardmore,OK,110,0,0,0,0,20,28,9,183,45,320,436,346,526,367,4041,626,941,2391,760,1695,649,108,101,54,119,92,186,170,70,0,384,787,466,36,115,53,45,213
Arizona City,AZ,57,0,0,0,0,16,0,24,55,19,30,0,199,55,69,1778,228,390,989,857,474,120,21,0,0,49,0,24,27,21,0,71,129,169,0,36,20,0,69
Arkadelphia,AR,84,0,0,0,3,10,5,0,66,8,82,108,110,163,49,988,205,239,687,329,838,483,89,236,69,74,101,63,174,44,29,153,289,331,122,192,50,34,102
Arkansas City,KS,91,0,0,0,40,65,38,7,51,50,114,111,108,212,95,1825,607,855,1470,865,924,331,41,8,14,42,28,27,42,37,0,216,290,473,28,53,32,40,63
Arlington,TN,9,0,0,0,0,39,2,0,65,0,217,46,39,85,37,957,213,485,1366,457,1443,705,75,38,25,79,78,95,109,148,0,291,662,428,45,132,20,116,156
Arroyo Grande--Grover Beach,CA,609,0,0,36,68,133,11,64,645,33,176,475,578,699,569,7452,902,3015,8255,3553,7494,2865,877,590,524,813,309,596,1168,1050,83,1449,1766,1403,633,946,485,445,782
Artesia,NM,99,4,0,0,39,40,0,0,47,102,80,134,463,277,351,2415,482,752,1295,504,993,310,0,9,0,101,45,51,63,91,0,65,323,433,0,0,55,19,92
Arvin,CA,777,0,0,20,187,470,334,244,2250,185,367,668,330,338,354,1584,136,238,812,303,252,28,6,0,21,6,3,10,21,16,0,27,82,60,0,2,0,16,30
Ashburn,GA,114,0,0,0,31,51,56,0,50,59,37,55,226,237,110,773,228,223,234,133,153,27,8,0,0,0,0,5,7,29,0,49,44,52,0,20,11,1,0
Ashdown,AR,8,0,0,0,12,0,0,0,7,16,43,76,26,99,72,932,195,469,492,189,174,10,0,4,0,0,5,0,4,0,2,19,32,99,4,22,0,0,1
Asheboro,NC,465,0,0,25,135,181,97,52,435,207,558,1178,1045,788,450,6659,1644,1734,3729,2147,2460,730,165,122,57,192,76,126,286,186,32,349,583,724,176,327,53,161,442
Asheville,NC,2239,15,8,44,133,411,272,350,1336,707,2094,3450,4543,4871,2288,40750,9108,12051,33244,17774,44582,19084,4583,3075,1843,5153,3133,5182,6393,3970,465,7723,11199,9871,5146,5189,4613,2832,5046
Ashland,MO,0,0,0,0,0,0,48,0,0,0,0,43,16,39,30,455,78,231,499,164,524,160,0,50,51,74,0,34,22,10,0,132,199,169,13,13,0,0,68
Ashland,NE,7,0,0,0,0,0,0,0,0,0,19,33,15,19,25,618,79,159,299,198,261,124,27,5,8,57,6,5,27,23,0,31,110,123,19,16,14,16,11
Ashland,OH,168,0,0,0,0,0,7,0,3,15,193,150,322,521,223,4596,491,825,1278,729,2145,947,147,321,200,295,91,208,242,122,24,282,484,964,245,385,30,185,224
Ashland,PA,34,0,0,0,10,0,0,16,26,4,56,135,222,171,143,2328,790,394,569,307,428,124,9,0,9,34,10,31,10,0,3,86,137,158,0,12,11,17,79
Ashland,WI,10,0,0,0,0,0,0,0,0,0,37,16,24,94,87,1331,173,269,790,658,870,353,107,86,8,197,47,110,124,71,0,153,206,276,86,65,115,11,32
Ashland City,TN,20,0,0,0,0,0,23,0,0,6,30,67,72,49,18,615,96,246,506,127,216,61,0,0,16,10,0,0,6,0,0,47,116,45,0,15,20,22,0
Ashtabula,OH,259,0,7,0,2,24,0,8,65,72,414,363,705,831,404,7619,1231,1290,2638,1437,1415,670,155,111,134,139,58,92,105,159,7,200,328,735,121,162,63,76,151
Ashville,OH,13,0,0,0,0,0,0,0,0,3,87,128,153,108,31,1462,106,318,604,307,507,185,71,21,0,27,11,4,63,61,0,52,223,209,25,51,24,34,37
Aspen,CO,37,0,0,0,0,0,0,0,0,0,5,16,24,53,59,522,35,69,934,429,2842,789,387,105,47,243,126,186,423,197,27,337,1309,393,383,205,201,185,135
Astoria,OR,26,0,1,0,0,0,7,19,73,51,90,82,99,267,83,2053,327,1314,1915,979,1568,911,82,134,140,167,50,229,212,153,29,193,347,550,166,177,195,89,182
Atchison,KS,8,0,0,0,0,0,17,0,7,0,126,11,77,102,52,1799,366,514,1020,615,745,371,44,155,12,160,24,44,71,47,19,219,210,364,42,132,31,62,41
Athens,AL,219,0,7,11,18,108,12,122,184,269,491,486,395,558,352,4481,1165,1171,2399,1245,2883,1101,182,155,233,160,132,205,182,425,62,361,1236,814,52,194,144,38,376
Athens,OH,25,0,0,0,0,0,0,0,17,20,93,44,67,240,80,1616,173,315,1248,483,2292,1945,229,872,236,453,388,222,544,322,94,420,520,738,649,401,342,285,308
Athens,TN,75,0,0,0,0,16,17,46,74,73,331,215,399,271,115,3149,781,643,1166,644,1421,562,230,113,0,104,30,47,68,261,16,173,563,526,113,144,89,30,266
Athens,TX,94,0,0,0,82,32,189,35,219,36,186,260,216,297,111,1419,267,491,1582,590,974,399,13,0,0,28,43,112,9,72,24,398,336,176,0,93,65,36,162
Athens-Clarke County,GA,947,17,29,150,66,195,101,106,594,378,906,1375,1503,1754,1082,12800,2719,3612,9912,4097,14886,8983,2025,3820,1102,3551,1301,1943,3290,931,228,2654,3783,4725,2216,1562,1516,1535,1527
Athol,MA,137,0,0,0,0,0,0,9,32,65,152,253,379,257,151,3206,383,564,1286,809,860,219,28,61,17,28,57,106,119,71,10,53,152,339,77,93,32,52,112
Atlanta,GA,36364,295,543,2113,2623,7725,6072,8592,33917,14986,27915,43218,50377,56145,49575,603758,97059,156939,471921,220322,754169,307172,73674,45827,74271,58793,35552,59040,97370,98914,6668,100264,320816,129389,51700,50980,47588,58062,63026
Atlanta,TX,18,2,9,0,0,0,0,10,29,0,51,131,130,110,119,1297,272,179,622,187,491,58,19,15,14,3,17,10,0,13,2,13,220,106,9,109,40,33,10
Atlantic,IA,29,0,0,0,0,0,0,0,0,1,106,73,23,107,115,1749,273,341,422,326,504,190,46,23,18,27,12,31,20,19,0,77,207,248,9,62,6,28,58
Atlantic City,NJ,3033,48,45,183,273,491,360,640,1569,1311,2180,2998,3356,5019,4278,47495,5097,10442,23591,11428,31720,11253,3184,1441,2032,2568,1866,2672,3746,2889,240,4650,10778,8517,1981,2613,1705,1371,3148
Atmore,AL,98,0,0,0,45,9,0,0,0,11,31,77,172,241,81,1537,469,261,793,342,318,81,71,0,5,18,0,15,17,7,18,19,161,185,25,27,22,6,7
Atoka,TN,108,0,0,0,0,0,0,0,133,45,222,33,110,337,129,3350,815,971,2770,1042,1549,779,30,28,84,238,0,80,118,291,0,232,596,467,73,154,15,78,153
Attica,IN,74,0,0,0,0,3,0,19,25,51,111,73,93,127,77,1282,296,254,529,210,274,144,23,0,7,16,0,6,25,39,0,49,41,169,8,35,13,18,35
Attica,NY,28,0,0,0,9,18,0,93,58,94,83,171,290,243,107,1209,925,321,624,380,220,140,6,5,6,5,6,15,29,24,0,22,97,113,18,19,6,8,19
Aubrey,TX,5,0,0,0,0,0,0,21,21,5,45,50,63,64,24,613,130,301,561,193,537,176,29,20,57,19,31,8,48,35,12,54,175,145,11,54,46,12,101
Auburn,AL,303,0,0,0,57,96,136,120,186,353,341,744,705,1151,411,6681,1459,2057,5315,2589,9823,5182,1015,2168,709,2190,712,762,1117,1739,84,1877,3568,2722,835,722,580,620,1322
Auburn,IL,0,0,0,0,0,0,0,0,0,14,22,5,21,28,87,1058,148,274,358,237,511,127,13,0,0,14,11,62,35,15,0,75,83,183,32,18,0,28,100
Auburn,IN,98,0,0,9,0,0,0,13,7,83,276,213,462,329,322,4530,823,1249,2275,1256,1713,836,29,0,81,99,79,81,117,251,18,217,380,760,39,339,27,115,166
